Wall time,Step,Value
1590083151.16692,1000,-2.172147274017334
1590084287.768544,2000,-2.1721489429473877
1590085373.284933,3000,-2.1721537113189697
1590086560.877794,4000,-2.172154188156128
1590087676.878593,5000,-2.1721537113189697
1590088718.6878772,6000,-2.172154664993286
1590089769.0863318,7000,-2.172154426574707
1590090803.327142,8000,-2.1721534729003906
1590091822.550256,9000,-2.172153949737549
1590092854.623861,10000,-2.172153949737549
1590093884.867192,11000,-2.1721551418304443
1590094876.375081,12000,-2.172154188156128
1590095872.776917,13000,-2.1721537113189697
1590096869.663989,14000,-2.1721527576446533
1590097879.117174,15000,-2.1721529960632324
1590098877.120301,16000,-2.172152519226074
1590099872.939378,17000,-2.1721532344818115
1590100867.741907,18000,-2.1721532344818115
1590101857.1362948,19000,-2.1721527576446533
1590102855.698926,20000,-2.1721527576446533
1590103853.0157828,21000,-2.1721532344818115
1590104858.9388092,22000,-2.1721527576446533
1590105854.153735,23000,-2.1721532344818115
1590106844.44639,24000,-2.1721529960632324
1590107843.1864471,25000,-2.1721529960632324
1590108833.662355,26000,-2.1721527576446533
1590109824.6153028,27000,-2.1721537113189697
1590110817.284852,28000,-2.172152042388916
1590111804.4576619,29000,-2.1721534729003906
1590112792.365029,30000,-2.172152280807495
1590113936.673739,31000,-2.172152042388916
1590115008.870286,32000,-2.172151803970337
1590116058.942624,33000,-2.172152519226074
1590117151.551614,34000,-2.1721513271331787
1590118202.484904,35000,-2.172151565551758
1590119282.140148,36000,-2.172152280807495
1590120332.820113,37000,-2.172152042388916
1590121373.36023,38000,-2.1721508502960205
1590122447.3954382,39000,-2.172151803970337
1590123554.456189,40000,-2.172150135040283
1590124604.665743,41000,-2.1721513271331787
1590125640.5268428,42000,-2.1721510887145996
1590126764.831788,43000,-2.172151565551758
1590127883.9629922,44000,-2.1721503734588623
1590128889.8299892,45000,-2.172151565551758
1590130078.5795698,46000,-2.172151565551758
1590131205.258272,47000,-2.1721508502960205
1590132271.657622,48000,-2.172151565551758
1590133458.2603168,49000,-2.1721506118774414
1590134832.5569248,50000,-2.1721508502960205
1590136352.567728,51000,-2.1721503734588623
1590138096.3477068,52000,-2.172150135040283
1590139309.968016,53000,-2.1721503734588623
1590140489.4575438,54000,-2.1721513271331787
1590141764.198678,55000,-2.1721508502960205
1590142991.061273,56000,-2.172149896621704
1590144179.812895,57000,-2.172149896621704
1590145284.023864,58000,-2.1721503734588623
1590146405.681997,59000,-2.172149181365967
1590147544.5047522,60000,-2.172149896621704
1590148615.016753,61000,-2.1721513271331787
