Wall time,Step,Value
1590083151.166784,1000,-2.172037124633789
1590084287.768414,2000,-2.172041893005371
1590085373.2846022,3000,-2.172133445739746
1590086560.87765,4000,-2.1721372604370117
1590087676.878453,5000,-2.1721348762512207
1590088718.6876621,6000,-2.172140121459961
1590089769.0861812,7000,-2.172139883041382
1590090803.327023,8000,-2.1721370220184326
1590091822.5500748,9000,-2.172140121459961
1590092854.623719,10000,-2.1721370220184326
1590093884.867001,11000,-2.1721363067626953
1590094876.374934,12000,-2.172137975692749
1590095872.776756,13000,-2.1721365451812744
1590096869.6638699,14000,-2.1721365451812744
1590097879.1169999,15000,-2.1721341609954834
1590098877.120186,16000,-2.1721317768096924
1590099872.939251,17000,-2.172135353088379
1590100867.7416692,18000,-2.1721367835998535
1590101857.136179,19000,-2.172130823135376
1590102855.6988108,20000,-2.172135353088379
1590103853.0156522,21000,-2.172135591506958
1590104858.938636,22000,-2.1721343994140625
1590105854.153619,23000,-2.172132968902588
1590106844.446275,24000,-2.172135591506958
1590107843.186296,25000,-2.1721386909484863
1590108833.662237,26000,-2.172140598297119
1590109824.615159,27000,-2.17213773727417
1590110817.284729,28000,-2.172133207321167
1590111804.457525,29000,-2.1721351146698
1590112792.364906,30000,-2.172133445739746
1590113936.6736078,31000,-2.1721343994140625
1590115008.870165,32000,-2.172135591506958
1590116058.942497,33000,-2.1721343994140625
1590117151.55148,34000,-2.172133207321167
1590118202.484751,35000,-2.172132730484009
1590119282.14,36000,-2.172133684158325
1590120332.819992,37000,-2.172137498855591
1590121373.360078,38000,-2.1721365451812744
1590122447.395319,39000,-2.172135353088379
1590123554.4560661,40000,-2.1721298694610596
1590124604.665615,41000,-2.1721315383911133
1590125640.526719,42000,-2.1721363067626953
1590126764.831669,43000,-2.1721322536468506
1590127883.962806,44000,-2.17213773727417
1590128889.829868,45000,-2.1721303462982178
1590130078.579445,46000,-2.172135353088379
1590131205.25809,47000,-2.1721341609954834
1590132271.6574981,48000,-2.1721351146698
1590133458.26009,49000,-2.172133684158325
1590134832.556772,50000,-2.172128677368164
1590136352.5675578,51000,-2.172130584716797
1590138096.3473668,52000,-2.1721341609954834
1590139309.9678788,53000,-2.172128200531006
1590140489.4573948,54000,-2.172133445739746
1590141764.198518,55000,-2.1721322536468506
1590142991.061035,56000,-2.172133207321167
1590144179.812626,57000,-2.1721351146698
1590145284.023721,58000,-2.1721317768096924
1590146405.681833,59000,-2.172135353088379
1590147544.504585,60000,-2.172133207321167
1590148615.016628,61000,-2.172135591506958
1590149784.353788,62000,-2.172131061553955
1590150890.537639,63000,-2.172131299972534
1590152046.3059342,64000,-2.1721320152282715
1590153292.902872,65000,-2.1721339225769043
1590154616.712706,66000,-2.172132968902588
1590155888.91567,67000,-2.172128677368164
1590157449.435216,68000,-2.172133684158325
1590158603.941587,69000,-2.172131299972534
1590160037.077877,70000,-2.1721303462982178
1590161254.0877461,71000,-2.172128200531006
1590162494.964051,72000,-2.172132968902588
1590163638.021454,73000,-2.1721274852752686
1590164818.259588,74000,-2.1721303462982178
1590166020.352014,75000,-2.1721341609954834
1590167228.217791,76000,-2.172123908996582
1590168378.215233,77000,-2.172128200531006
1590169536.534454,78000,-2.1721303462982178
1590170652.4225678,79000,-2.172130823135376
1590171766.404205,80000,-2.1721298694610596
1590172881.954746,81000,-2.1721251010894775
1590173988.456098,82000,-2.172130584716797
1590175150.191413,83000,-2.172126293182373
1590176287.46511,84000,-2.1721320152282715
1590177412.0685272,85000,-2.172131299972534
1590178524.941649,86000,-2.172130823135376
1590179619.628649,87000,-2.172130823135376
1590180691.875037,88000,-2.172126531600952
1590181757.030994,89000,-2.1721315383911133
1590182831.831111,90000,-2.1721279621124268
1590183896.2183008,91000,-2.1721293926239014
1590184961.8650272,92000,-2.1721303462982178
1590186024.4315798,93000,-2.172128677368164
1590187089.944258,94000,-2.172128915786743
1590188152.1252968,95000,-2.1721315383911133
1590189212.379037,96000,-2.172126054763794
1590190263.3973398,97000,-2.172131299972534
1590191313.859413,98000,-2.172130584716797
1590192367.577049,99000,-2.172128438949585
1590193425.6287072,100000,-2.172126054763794
1590194482.421612,101000,-2.1721293926239014
1590195533.7631302,102000,-2.172130823135376
1590196582.822452,103000,-2.1721267700195312
1590197641.521695,104000,-2.172125816345215
1590198690.3964748,105000,-2.172128677368164
1590199733.508259,106000,-2.1721253395080566
1590200777.8278558,107000,-2.1721251010894775
1590201821.478378,108000,-2.1721274852752686
1590202853.858422,109000,-2.172128438949585
1590203886.6044412,110000,-2.1721274852752686
1590204925.185479,111000,-2.1721317768096924
1590205963.636527,112000,-2.172121286392212
1590206994.660497,113000,-2.172121047973633
1590208024.971487,114000,-2.172125816345215
