26012,27548,29378,27997,33617,30338,36155,40021,37224,38308,37023,37969,43972,49928,53979,61095,59079,55238,63456,71734,65749,70543,76807,89353,88282,88964,94671,98146,99486,95133,85063,90094,87848,88686,79999,81618,75451,63028,52486,69098,62140,68980,70405,70607
46046,58884,78171,72153,75407,58083,48329,49435,52874,50136,33139,26012,26356,24746,91715,48307,31235,26268,28393,29442,34676,28116,29809,21143,14837,17297,17185,10669,9461,8700,8446,5252,4799,4594,4644,5339,5810,4494,5743,6912,5259,4005,3632,2067
170647,163523,145241,174609,148831,169468,179867,182507,188178,202879,207896,206892,195325,194705,128048,178330,202531,211469,205133,201792,206438,211458,193638,171246,161341,155206,147269,121973,125101,108341,122300,133048,125681,139842,133268,136336,150844,138091,126764,104448,108797,109398,144189,131678
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,2443,6586,2735,10481,9150,7240,5897,4191,3077,2122,1477,1493,1636,2666,2896,1743,4532,4778,4949,4998,5824,12583,34039,53258,63739,84086,110963,117799,142902,148077,141905,152276,148881,157065,152640,140828,165793,176215,166499,175656,146521,100074,95843
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,240,333,539,992,1082,1103,1267,1666,1874,1900,4176,4900,5346,5085,6901,6798,6011,5785,6928,7678,9233,11204,13423
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,536,705,825,878,972,1118,1326,1571,2113,2555,2870,3046,3609,4444,4757,4872,5179,5305,5534,5735,5857,5874,6655
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,5
4487,3358,3391,3858,4066,3751,3688,3870,3995,4245,3891,4347,4530,4552,3987,4090,4766,4137,4933,4749,5207,4624,5431,4302,5094,4838,3393,4169,5118,5336,5086,4056,4787,3227,4843,4922,4593,5090,5168,5241,3575,5689,5285,4701
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,40,218,342,391,488,667,877,850,947,965,1256,1285,1935,2904,4225,5274,7097,9307,10184,15509,19584,28397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,8,11,14,17,20,40,244,1188,2010
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
